mort_date,year,month,month_numerical,site_id,latitude,longitude,mort_action,mort_contributing,mort_comments,company,site,zone,species,mort_cause,mortality_events,mot_control,algalbloom,ag_control,low_do,ldocontrol,treatment,treatment_control,date,year class
5/15/2013,2013,May,5,821,50.847851,-126.31921,Carcass Removal,n/a,n/a,MOWI Canada West,Glacier Falls,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,41408,2
9/1/2013,2013,September,9,526,49.256699,-125.84153,Not reported,n/a,n/a,Cermaq Canada,Rant Point,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,9/1/2013,2
9/27/2013,2013,September,9,1825,50.60799,-126.36301,Not reported,n/a,n/a,Grieg Seafood BC,Noo-la,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,9/19/2013,1
12/8/2013,2013,December,12,1507,49.376221,-126.09003,Carcass Removal,Algae bloom,Netpen liver disease,Cermaq Canada,Millar Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Non-Infectious Disease,1,0,0,1,0,1,0,1,12/15/2013,2
6/2/2014,2014,June,6,527,49.248032,-125.90671,Carcass Removal,n/a,Mouth rot,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Infectious disease,1,0,0,1,0,1,0,1,n/a,2
6/2/2014,2014,June,6,1825,50.60799,-126.36301,Harvest,n/a,n/a,Grieg Seafood BC,Noo-la,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,1
6/5/2014,2014,June,6,1144,50.796902,-126.49581,Carcass Removal,n/a,n/a,Cermaq Canada,Burdwood,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/18/2014,1
6/10/2014,2014,June,6,1059,50.673458,-126.18595,Carcass Removal,n/a,n/a,MOWI Canada West,Sargeaunt Pass,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,6/13/2014,1
6/10/2014,2014,June,6,1618,50.696819,-126.25532,Carcass Removal,n/a,n/a,MOWI Canada West,Humphrey Rock,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,41818,1
6/26/2014,2014,June,6,1705,49.656231,-126.42849,Carcass Removal,Low Dissolved Oxygen,Netpen liver disease,Grieg Seafood BC,Williamson,Nootka Sound,Atlantic Salmon (Salmo salar),Non-Infectious Disease,1,0,0,1,0,1,0,1,n/a,1
6/26/2014,2014,June,6,1789,49.659229,-126.47587,Carcass Removal,Low Dissolved Oxygen,Netpen liver disease,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Non-Infectious Disease,1,0,0,1,0,1,0,1,6/13/2014,1
7/2/2014,2014,July,7,1507,49.376221,-126.09003,Carcass Removal,Algae bloom,Netpen liver disease,Cermaq Canada,Millar Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Non-Infectious Disease,1,0,0,1,0,1,0,1,41828,2
7/7/2014,2014,July,7,1401,50.286129,-125.34917,Carcass Removal,n/a,n/a,Cermaq Canada,Brent Island,Discovery Islands,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,7/4/2014,2
8/15/2014,2014,August,8,1079,49.886799,-126.7911,Carcass Removal,n/a,n/a,Grieg Seafood BC,Steamer,Esperanza Inlet,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,8/6/2014,2
8/15/2014,2014,August,8,1863,49.878139,-126.76145,Carcass Removal,n/a,n/a,Grieg Seafood BC,Esperanza,Esperanza Inlet,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,8/5/2014,1
9/15/2014,2014,September,9,1144,50.796902,-126.49581,Carcass Removal,n/a,n/a,Cermaq Canada,Burdwood,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
9/15/2014,2014,September,9,6668,49.214329,-125.76693,Carcass Removal,n/a,n/a,Cermaq Canada,Plover Point,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,41898,2
9/16/2014,2014,September,9,306,50.30241,-125.33778,Carcass Removal,n/a,n/a,Cermaq Canada,Venture Point,Discovery Islands,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,9/7/2014,1
9/18/2014,2014,September,9,1401,50.286129,-125.34917,Carcass Removal,n/a,n/a,Cermaq Canada,Brent Island,Discovery Islands,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,9/5/2014,1
9/19/2014,2014,September,9,728,50.830959,-126.59684,Carcass Removal,n/a,n/a,Cermaq Canada,Sir Edmund Bay,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,41887,1
9/23/2014,2014,September,9,100,50.410629,-125.70029,Carcass Removal,n/a,n/a,MOWI Canada West,Lees Bay,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,9/25/2014,1
9/25/2014,2014,September,9,1059,50.673458,-126.18595,Carcass Removal,n/a,n/a,MOWI Canada West,Sargeaunt Pass,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,9/27/2014,1
9/28/2014,2014,September,9,1351,50.90567,-127.34239,Carcass Removal,n/a,n/a,MOWI Canada West,Marsh Bay,Port Hardy,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,9/11/2014,1
10/16/2014,2014,October,10,211,50.30946,-125.31618,Carcass Removal,n/a,n/a,MOWI Canada West,Okisollo,Discovery Islands,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,10/7/2014,1
10/21/2014,2014,October,10,1702,52.787258,-128.41991,Carcass Removal,Non-infectious disease,Poor gill health,MOWI Canada West,Goat Cove,Central Coast,Atlantic Salmon (Salmo salar),Handling,1,0,0,1,0,1,0,1,10/15/2014,1
3/30/2015,2015,March,3,1293,50.8195,-127.55568,Carcass Removal,Non-infectious disease,Storm event; Poor gill health,MOWI Canada West,Duncan Island,Port Hardy,Atlantic Salmon (Salmo salar),Other - Explain,1,0,0,1,0,1,0,1,3/2/2015,1
4/28/2015,2015,April,4,1849,49.64394,-126.33953,Not reported,n/a,n/a,Grieg Seafood BC,Muchalat North,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,42112,1
4/28/2015,2015,April,4,1863,49.878139,-126.76145,Not reported,Non-infectious disease,Poor gill health,Grieg Seafood BC,Esperanza,Esperanza Inlet,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,4/12/2015,1
5/14/2015,2015,May,5,1700,49.640121,-126.32735,Not reported,Non-infectious disease,Poor gill health,Grieg Seafood BC,Muchalat South,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
6/4/2015,2015,June,6,540,49.235031,-125.75174,Continued monitoring,n/a,n/a,Cermaq Canada,Fortune Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/2/2015,1
6/12/2015,2015,June,6,1863,49.878139,-126.76145,Not reported,Non-infectious disease,Poor gill health,Grieg Seafood BC,Esperanza,Esperanza Inlet,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
6/16/2015,2015,June,6,1705,49.656231,-126.42849,Not reported,n/a,n/a,Grieg Seafood BC,Williamson,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/8/2015,2
6/17/2015,2015,June,6,728,50.830959,-126.59684,Carcass Removal,n/a,n/a,Cermaq Canada,Sir Edmund Bay,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/30/2015,1
6/18/2015,2015,June,6,1789,49.659229,-126.47587,Not reported,Non-infectious disease,Poor gill health,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/9/2015,2
6/20/2015,2015,June,6,1291,49.305569,-125.81583,Continued monitoring,Infectious disease,Salmonid Rickettsial Septicemia,Cermaq Canada,McIntyre Lake,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,42175,Brood
7/4/2015,2015,July,7,540,49.235031,-125.75174,Continued monitoring,Algae bloom,n/a,Cermaq Canada,Fortune Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,7/17/2015,2
7/7/2015,2015,July,7,1350,50.965549,-127.45345,Not reported,Infectious disease,Enteric Redmouth Disease,MOWI Canada West,Shelter Bay,Port Hardy,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/3/2015,1
7/8/2015,2015,July,7,1291,49.305569,-125.81583,Continued monitoring,Algae bloom; Infectious disease,Salmonid Rickettsial Septicemia,Cermaq Canada,McIntyre Lake,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,42188,1
7/10/2015,2015,July,7,527,49.248032,-125.90671,Carcass Removal,Infectious disease,Salmonid Rickettsial Septicemia,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/23/2015,2
7/23/2015,2015,July,7,1700,49.640121,-126.32735,Not reported,Non-infectious disease,Poor gill health,Grieg Seafood BC,Muchalat South,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,7/18/2015,1
7/24/2015,2015,July,7,78,50.488251,-125.35658,Not reported,n/a,n/a,MOWI Canada West,Phillips Arm,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,2
7/24/2015,2015,July,7,100,50.410629,-125.70029,Not reported,n/a,n/a,MOWI Canada West,Lees Bay,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/16/2015,2
7/24/2015,2015,July,7,1581,50.413391,-125.76974,Not reported,n/a,n/a,MOWI Canada West,Hardwicke,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,42199,1
7/24/2015,2015,July,7,1896,52.785381,-128.33133,Carcass Removal,Algae bloom; Non-infectious disease,Poor gill health,MOWI Canada West,Lime Point,Central Coast,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,7/28/2015,2
7/30/2015,2015,July,7,1896,52.785381,-128.33133,Continued monitoring,n/a,n/a,MOWI Canada West,Lime Point,Central Coast,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/28/2015,2
8/7/2015,2015,August,8,540,49.235031,-125.75174,Continued monitoring,Maturation; Infectious disease,Salmonid Rickettsial Septicemia,Cermaq Canada,Fortune Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,8/16/2015,1
8/14/2015,2015,August,8,819,50.851231,-126.71498,Carcass Removal,n/a,n/a,Cermaq Canada,Cecil Island,Broughton Archipelago,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,1
8/15/2015,2015,August,8,1825,50.60799,-126.36301,Not reported,n/a,n/a,Grieg Seafood BC,Noo-la,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,8/19/2015,2
8/27/2015,2015,August,8,527,49.248032,-125.90671,Continued monitoring,Infectious disease,Salmonid Rickettsial Septicemia,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Maturation,1,0,0,1,0,1,0,1,8/1/2015,1
9/1/2015,2015,September,9,819,50.851231,-126.71498,Carcass Removal,n/a,n/a,Cermaq Canada,Cecil Island,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
10/21/2015,2015,October,10,543,49.259251,-125.86762,Continued monitoring,n/a,n/a,Cermaq Canada,Mussel Rock,Clayoquot Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,10/1/2015,Brood
1/30/2016,2016,January,1,1789,49.659229,-126.47587,Carcass Removal,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Water Quality,1,0,0,1,0,1,0,1,1/8/2016,2
2/3/2016,2016,February,2,1401,50.286129,-125.34917,None required,n/a,Photoperiod lights suddenly off,Cermaq Canada,Brent Island,Discovery Islands,Atlantic Salmon (Salmo salar),Other - Explain,1,0,0,1,0,1,0,1,42429,1
3/9/2016,2016,March,3,1789,49.659229,-126.47587,Carcass Removal,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Water Quality,1,0,0,1,0,1,0,1,42447,2
4/7/2016,2016,April,4,1705,49.656231,-126.42849,Carcass Removal,Infectious disease; Non-infectious disease,Furunculosis; Poor gill health,Grieg Seafood BC,Williamson,Nootka Sound,Atlantic Salmon (Salmo salar),Water Quality,1,0,0,1,0,1,0,1,4/24/2016,1
4/13/2016,2016,April,4,1789,49.659229,-126.47587,Carcass Removal,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Water Quality,1,0,0,1,0,1,0,1,n/a,1
5/2/2016,2016,May,5,1789,49.659229,-126.47587,Harvest,n/a,Furunculosis,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Infectious disease,1,0,0,1,0,1,0,1,n/a,2
5/9/2016,2016,May,5,1507,49.376221,-126.09003,Continued monitoring,Non-infectious disease; Harvesting; Algae bloom,Net Pen Liver Disease,Cermaq Canada,Millar Channel,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,5/5/2016,2
5/12/2016,2016,May,5,1705,49.656231,-126.42849,Carcass Removal,Infectious disease; Non-infectious disease,Furunculosis; Poor gill health,Grieg Seafood BC,Williamson,Nootka Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,5/27/2016,2
5/19/2016,2016,May,5,1738,49.656029,-126.45404,Harvest,n/a,Furunculosis,Grieg Seafood BC,Atrevida,Nootka Sound,Atlantic Salmon (Salmo salar),Infectious disease,1,0,0,1,0,1,0,1,42496,2
5/26/2016,2016,May,5,314,49.324371,-126.04849,Environmental Mitigation,n/a,n/a,Cermaq Canada,Ross Pass,Clayoquot Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,5/20/2016,2
6/2/2016,2016,June,6,1148,49.34182,-125.95328,Carcass Removal,n/a,n/a,Cermaq Canada,Binns Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/13/2016,1
6/8/2016,2016,June,6,543,49.259251,-125.86762,Environmental Mitigation,n/a,n/a,Cermaq Canada,Mussel Rock,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/23/2016,1
6/10/2016,2016,June,6,1351,50.90567,-127.34239,Carcass Removal,n/a,Strong tides,MOWI Canada West,Marsh Bay,Port Hardy,Atlantic Salmon (Salmo salar),Other - Explain,1,0,0,1,0,1,0,1,42523,1
6/14/2016,2016,June,6,1697,49.795952,-124.10162,Environmental Mitigation,Infectious disease,Salmonid Rickettsial Septicemia,Grieg Seafood BC,Culloden,Sunshine Coast,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,6/2/2016,1
6/27/2016,2016,June,6,527,49.248032,-125.90671,Treatment,n/a,Mouth rot,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Infectious disease,1,0,0,1,0,1,0,1,6/17/2016,1
6/30/2016,2016,June,6,543,49.259251,-125.86762,Environmental Mitigation,n/a,Net cleaning,Cermaq Canada,Mussel Rock,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/23/2016,1
7/1/2016,2016,July,7,332,49.615349,-123.83407,Continued monitoring,Handling,n/a,Grieg Seafood BC,Salten,Sunshine Coast,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/30/2016,1
7/2/2016,2016,July,7,527,49.248032,-125.90671,Continued monitoring,n/a,n/a,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/6/2016,1
7/6/2016,2016,July,7,7053,50.90078,-127.93638,Carcass Removal,n/a,n/a,MOWI Canada West,Ghi ya,Port Hardy,Atlantic Salmon (Salmo salar),Handling,1,0,0,1,0,1,0,1,7/1/2016,Brood
7/27/2016,2016,July,7,1698,49.779301,-124.15395,Environmental Mitigation,Infectious disease,Salmonid Rickettsial Septicemia,Grieg Seafood BC,Ahlstrom,Sunshine Coast,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,2
8/12/2016,2016,August,8,1350,50.965549,-127.45345,Continued monitoring,n/a,n/a,MOWI Canada West,Shelter Bay,Port Hardy,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,8/13/2016,1
8/15/2016,2016,August,8,527,49.248032,-125.90671,Continued monitoring,n/a,n/a,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,42598,2
8/16/2016,2016,August,8,821,50.847851,-126.31921,Continued monitoring,Algae bloom,n/a,MOWI Canada West,Glacier Falls,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,8/8/2016,1
8/24/2016,2016,August,8,1059,50.673458,-126.18595,Continued monitoring,n/a,n/a,MOWI Canada West,Sargeaunt Pass,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,8/25/2016,1
